"year","world_population","world_hydro_electricity","world_other_renewable_electricity","world_solar_electricity","world_wind_electricity","world_renewable_elec_generated","world_coal_electricity","world_gas_electricity","world_nuclear_electricity","world_oil_electricity","world_non_renewable_elec_generated","world_electricity_generation","world_electricity_demand","world_net_electricity_supply"
1985,"4179692209","1844.9900000000002","76.184","0.012","0.064","1025.2040000000002","3436.483","1171.306","1479.6009999999999","861.7889999999999","6664.2970000000005","9549.238",NULL,NULL
1986,"4250946339","1856.8519999999992","82.558","0.015","0.139","1020.3550000000001","3518.2129999999997","1166.7220000000002","1587.9629999999997","902.1430000000003","6862.297999999999","9821.942999999997",NULL,NULL
1987,"4324377954","1877.3060000000003","88.528","0.011","0.196","1013.755","3718.281000000001","1246.1330000000003","1725.906","917.8879999999998","7279.575999999999","10293.599999999999",NULL,NULL
1988,"4398017893","1927.494","91.11500000000001","0.009999999999999998","0.332","1059.3199999999997","3852.0269999999996","1259.587","1882.3020000000001","996.8009999999999","7642.214","10742.212999999998",NULL,NULL
1989,"4471229623","1916.7529999999995","101.39200000000002","0.262","2.649","1110.926","4018.9950000000003","1428.6020000000003","1939.045","1075.291","8108.017","11254.359000000002",NULL,NULL
1990,"4565808081","1999.3020000000001","113.596","0.387","3.632","2116.886000000001","4319.946","1561.7050000000002","2000.5629999999999","1199.9580000000003","8915.564999999999","11599.795999999998","3104.2299999999996","1.1700000000000372"
1991,"4637297582","2042.3719999999998","118.88","0.501","4.196","2165.924","4420.553","1591.8269999999995","2096.1339999999996","1192.9979999999998","9134.100999999999","11856.713","3119.4099999999994","0.8500000000000156"
1992,"4703920542","2047.4170000000001","127.19399999999999","0.46399999999999997","4.747","2179.792","4520.379","1594.3789999999997","2112.223","1158.4629999999995","9214.773","11974.662","3094.1400000000003","-7.480000000000137"
1993,"4768024123","2174.6890000000003","131.68099999999998","0.5489999999999999","5.757999999999999","2312.6490000000003","4597.54","1624.0420000000001","2184.764","1100.3129999999999","9332.471999999998","12239.560999999998","3084.88","-11.85999999999994"
1994,"4830931537","2183.1369999999997","137.00800000000004","0.597","7.6389999999999985","2328.3489999999997","4767.580000000001","1692.7129999999995","2225.5","1122.405","9627.391999999998","12550.913999999997","3103.6699999999996","-16.69"
1995,"4892906915","2308.8189999999995","143.12800000000001","0.64","8.463","2447.937","4908.992999999999","1795.1100000000001","2321.223","1069.5579999999998","9907.189","12990.206999999997","3181.4600000000005","-9.970000000000113"
1996,"4953901400","2336.382","146.68200000000002","0.6980000000000001","9.217","2479.5009999999997","5143.557999999999","1847.137","2402.7920000000004","1056.4300000000003","10256.83","13392.906999999997","3260.78","-7.069999999999872"
1997,"5014404897","2375.4690000000005","157.281","0.75","11.986","2532.098","5253.944","1993.356","2388.454","1043.5240000000001","10474.466999999999","13706.091999999999","3291.1100000000006","-12.929999999999986"
1998,"5074431225","2388.899","164.205","0.8330000000000001","15.939000000000004","2555.9229999999993","5365.226999999999","2124.1689999999994","2429.668","1075.378","10775.617","14066.264000000001","3357.9100000000003","-7.900000000000036"
1999,"5133630012","2398.758","171.78199999999998","0.925","21.087999999999997","2577.8540000000003","5488.339999999999","2312.7150000000006","2521.633","1037.1279999999997","11136.149000000001","14460.188","3398.7599999999993","-12.070000000000054"
2000,"6136972100","2621.3599999999983","202.38899999999998","1.08","31.16","2855.9890000000014","5719.120000000002","2681.110000000001","2507.43","1209.5099999999993","11645.08","14971.790000000006","14968.970000000003","2.8199999999996868"
2001,"6221654191","2561.039999999999","197.39","1.35","38.160000000000004","2797.9399999999996","5801.14","2827.65","2573.7099999999996","1197.6","11897.609999999999","15196.35","15197.430000000006","-1.0799999999997656"
2002,"6302993442","2601.3899999999994","212.47099999999998","1.6900000000000002","52.040000000000006","2867.5910000000003","6056.120000000001","3033.7799999999993","2601.89","1175.5799999999995","12328.550000000007","15733.180000000002","15744.930000000008","-11.749999999999893"
2003,"6385074054","2602.3299999999977","225.671","2.0700000000000003","63.43","2893.5009999999984","6458.6100000000015","3165.779999999999","2577.7100000000005","1198.1999999999994","12816.390000000007","16292.110000000004","16292.269999999999","-0.1600000000002595"
2004,"6466590189","2796.689999999999","244.50900000000004","2.709999999999999","85.25999999999998","3129.169","6697.6100000000015","3408.1900000000005","2682.7299999999996","1177.4699999999991","13333.650000000009","17093.140000000007","17093.430000000008","-0.2900000000003127"
2005,"6549291961","2895.1700000000023","268.96900000000005","3.7799999999999994","103.89000000000003","3271.809","7040.850000000001","3579.9900000000007","2686.95","1186.1299999999997","13817.550000000003","17763.940000000002","17762.07","1.8700000000000516"
2006,"6632157602","3001.53","282.51000000000005","5.1099999999999985","132.79000000000005","3421.9400000000014","7439.879999999999","3792.38","2721.42","1097.059999999999","14338.970000000001","18471.240000000016","18473.870000000003","-2.6300000000006216"
2007,"6716295824","3046.1800000000003","308.71100000000007","6.919999999999998","170.91000000000008","3532.7210000000014","7931.819999999997","4109.469999999999","2666.9199999999996","1119.3899999999994","15068.750000000004","19357.61999999999","19361.50999999999","-3.890000000000132"
2008,"6801532127","3231.0700000000015","327.99800000000005","11.359999999999996","220.07","3790.497999999998","7927.590000000001","4210.51","2656.04","1078.9899999999996","15081.120000000008","19660.03999999999","19661.289999999994","-1.2500000000002496"
2009,"6887828343","3229.550000000001","350.9699999999999","19.190000000000005","275.88000000000005","3875.590000000001","7817.319999999999","4247.72","2618.9999999999995","1005.1199999999994","14858.720000000003","19561.349999999995","19568.549999999996","-7.199999999999917"
2010,"6974219352","3412.3300000000004","394.01500000000016","31.05000000000001","345.9900000000001","4183.384999999998","8358.6","4701.27","2686.4400000000005","1011.7799999999994","15921.400000000001","20938.059999999998","20940.469999999987","-2.4100000000000357"
2011,"7061187188","3479.250000000001","416.4189999999998","61.850000000000016","440.39000000000004","4397.899000000001","8814.17","4767.240000000001","2575.3500000000004","1103.8699999999997","16612.020000000004","21654.23","21657.09","-2.85999999999931"
2012,"7158041250","3645.0200000000004","447.73399999999975","95.18000000000002","529.11","4717.014000000003","8855.83","5042.66","2403.21","1157.1299999999997","16757.940000000002","22169.890000000007","22177.230000000014","-7.339999999999122"
2013,"7246897515","3776.8800000000015","482.398","131.42000000000004","641.17","5031.828","9306.749999999998","4939.5199999999995","2418.4399999999996","1118.6099999999997","17048.90000000001","22808.289999999997","22827.170000000006","-18.87999999999907"
2014,"7335276203","3865.6300000000037","521.1329999999997","196.46000000000004","716.51","5299.683000000004","9495.570000000002","5096.069999999998","2472.7","1063.7399999999993","17349.120000000003","23422.829999999987","23440.48","-17.649999999999253"
2015,"7422821509","3870.0399999999986","562.9199999999997","254.87","828.3700000000002","5516.1500000000015","9160.63","5418.5499999999965","2502.4500000000003","1068.09","17339.930000000004","23660.36","23682.010000000006","-21.649999999999324"
2016,"7509663151","3996.540000000001","574.4059999999998","329.15","959.65","5859.696000000003","9226.849999999999","5669.080000000002","2540.4800000000005","1004.9599999999999","17618.72","24294.38999999999","24304.579999999994","-10.19000000000016"
2017,"7595973303","4053.960000000001","608.853","444.5399999999997","1136.4099999999996","6243.693000000008","9518.909999999998","5791.83","2566.22","913.0699999999998","17944.01","25026.399999999994","25025.839999999993","0.5600000000004872"
2018,"7679886761","4174.8099999999995","644.6989999999996","570.5699999999996","1265.2899999999997","6655.209000000004","9899.44","6015.239999999998","2619.57","841.3399999999997","18523","26022.010000000002","26033.170000000016","-11.159999999999918"
2019,"7760998736","4220.109999999999","673.8959999999997","701.1899999999989","1419.5099999999998","7014.496000000004","9680.920000000002","6176.34","2724.08","776.78","18485.24000000001","26365.580000000005","26385.57","-19.989999999999895"
2020,"7836964592","4341.100000000001","704.3299999999997","850.8899999999994","1587.13","7483.2400000000025","9292.9","6132.469999999998","2634.689999999999","740.9999999999997","17945.170000000016","26276.91","26287.820000000007","-10.909999999998812"
2021,"7905268937","4244.57","762.6079999999995","1040.0599999999993","1849.3999999999999","7895.808000000005","10081.800000000005","6326.000000000004","2740.78","793.5300000000004","19042.429999999997","27834.92","27853.33999999999","-18.419999999999607"
2022,"6712136048","4036.799","776.0669999999998","1274.5299999999997","2129.1970000000006","8208.568999999994","10070.629999999997","5814.899","2630.425","628.4050000000001","18185.528000000002","27965.36500000001","26708.750000000004","-46.630000000001225"
